"name"	"correct"
"aime_1983_p1"	"4"
"aime_1983_p2"	"28"
"aime_1983_p3"	"0"
"aime_1984_p1"	"16"
"aime_1984_p7"	"0"
"aime_1987_p5"	"0"
"aime_1988_p8"	"0"
"aime_1989_p8"	"30"
"aime_1990_p15"	"3"
"aime_1990_p4"	"16"
"aime_1991_p9"	"0"
"aime_1994_p3"	"0"
"aime_1995_p7"	"0"
"aime_1997_p9"	"0"
"aime_1999_p11"	"0"
"algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7"	"0"
"algebra_9onxpypzleqsum2onxpy"	"24"
"algebra_abpbcpcageq3_sumaonsqrtapbgeq3onsqrt2"	"0"
"algebra_absapbon1pabsapbleqsumabsaon1pabsa"	"27"
"algebra_absxm1pabsxpabsxp1eqxp2_0leqxleq1"	"29"
"algebra_amgm_sum1toneqn_prod1tonleq1"	"0"
"algebra_amgm_sumasqdivbgeqsuma"	"15"
"algebra_apbmpcneq0_aeq0anbeq0anceq0"	"0"
"algebra_apbon2pownleqapownpbpowon2"	"0"
"algebra_apbpceq2_abpbcpcaeq1_aleq1on3anbleq1ancleq4on3"	"23"
"algebra_bleqa_apbon2msqrtableqambsqon8b"	"11"
"algebra_cubrtrp1oncubrtreq3_rcubp1onrcubeq5778"	"0"
"algebra_ineq_nto1onlt2m1on"	"0"
"algebra_others_exirrpowirrrat"	"0"
"algebra_sqineq_at2malt1"	"31"
"algebra_sqineq_unitcircatbpabsamblt1"	"28"
"algebra_sqineq_unitcircatbpamblt1"	"30"
"algebra_sum1onsqrt2to1onsqrt10000lt198"	"0"
"amc12_2000_p1"	"0"
"amc12_2000_p12"	"2"
"amc12_2000_p20"	"0"
"amc12_2000_p6"	"25"
"amc12_2001_p21"	"0"
"amc12_2001_p5"	"14"
"amc12a_2002_p13"	"0"
"amc12a_2002_p6"	"25"
"amc12a_2003_p23"	"0"
"amc12a_2003_p5"	"25"
"amc12a_2008_p25"	"0"
"amc12a_2009_p6"	"0"
"amc12a_2009_p7"	"0"
"amc12a_2013_p4"	"29"
"amc12a_2019_p12"	"0"
"amc12a_2020_p10"	"0"
"amc12a_2020_p15"	"0"
"amc12a_2020_p25"	"0"
"amc12a_2020_p4"	"0"
"amc12a_2020_p7"	"0"
"amc12a_2020_p9"	"0"
"amc12a_2021_p12"	"0"
"amc12a_2021_p14"	"0"
"amc12a_2021_p18"	"0"
"amc12a_2021_p19"	"0"
"amc12a_2021_p22"	"0"
"amc12a_2021_p25"	"0"
"amc12a_2021_p3"	"22"
"amc12a_2021_p8"	"0"
"amc12a_2021_p9"	"0"
"amc12b_2002_p19"	"28"
"amc12b_2002_p2"	"30"
"amc12b_2002_p4"	"0"
"amc12b_2002_p7"	"22"
"amc12b_2020_p13"	"1"
"amc12b_2020_p2"	"32"
"amc12b_2020_p21"	"0"
"amc12b_2020_p22"	"0"
"amc12b_2020_p6"	"0"
"amc12b_2021_p1"	"0"
"amc12b_2021_p13"	"0"
"amc12b_2021_p18"	"0"
"amc12b_2021_p3"	"0"
"amc12b_2021_p4"	"13"
"amc12b_2021_p9"	"0"
"imo_1959_p1"	"0"
"imo_1960_p2"	"0"
"imo_1962_p2"	"0"
"imo_1963_p5"	"0"
"imo_1964_p2"	"27"
"imo_1965_p2"	"0"
"imo_1968_p5_1"	"0"
"imo_1969_p2"	"0"
"imo_1974_p3"	"0"
"imo_1977_p6"	"0"
"imo_1981_p6"	"0"
"imo_1982_p1"	"0"
"imo_1983_p6"	"11"
"imo_1984_p6"	"0"
"imo_1985_p6"	"0"
"imo_1992_p1"	"0"
"imo_1997_p5"	"0"
"imo_2001_p6"	"0"
"imo_2019_p1"	"0"
"imosl_2007_algebra_p6"	"0"
"induction_11div10tonmn1ton"	"22"
"induction_12dvd4expnp1p20"	"20"
"induction_1pxpownlt1pnx"	"26"
"induction_nfactltnexpnm1ngt3"	"0"
"induction_pord1p1on2powklt5on2"	"0"
"induction_pprime_pdvdapowpma"	"0"
"induction_prod1p1onk3le3m1onn"	"0"
"induction_sumkexp3eqsumksq"	"0"
"mathd_algebra_107"	"32"
"mathd_algebra_113"	"32"
"mathd_algebra_114"	"0"
"mathd_algebra_125"	"20"
"mathd_algebra_129"	"26"
"mathd_algebra_137"	"29"
"mathd_algebra_139"	"29"
"mathd_algebra_141"	"27"
"mathd_algebra_142"	"14"
"mathd_algebra_143"	"31"
"mathd_algebra_148"	"32"
"mathd_algebra_153"	"1"
"mathd_algebra_156"	"17"
"mathd_algebra_158"	"4"
"mathd_algebra_160"	"24"
"mathd_algebra_17"	"0"
"mathd_algebra_170"	"3"
"mathd_algebra_171"	"31"
"mathd_algebra_176"	"31"
"mathd_algebra_184"	"0"
"mathd_algebra_188"	"19"
"mathd_algebra_196"	"0"
"mathd_algebra_208"	"0"
"mathd_algebra_209"	"26"
"mathd_algebra_215"	"2"
"mathd_algebra_24"	"32"
"mathd_algebra_246"	"30"
"mathd_algebra_263"	"27"
"mathd_algebra_270"	"16"
"mathd_algebra_275"	"9"
"mathd_algebra_276"	"0"
"mathd_algebra_288"	"0"
"mathd_algebra_289"	"0"
"mathd_algebra_293"	"5"
"mathd_algebra_296"	"28"
"mathd_algebra_302"	"15"
"mathd_algebra_304"	"29"
"mathd_algebra_313"	"10"
"mathd_algebra_314"	"29"
"mathd_algebra_320"	"0"
"mathd_algebra_329"	"28"
"mathd_algebra_33"	"19"
"mathd_algebra_332"	"0"
"mathd_algebra_338"	"8"
"mathd_algebra_342"	"0"
"mathd_algebra_346"	"31"
"mathd_algebra_354"	"11"
"mathd_algebra_359"	"30"
"mathd_algebra_362"	"0"
"mathd_algebra_388"	"29"
"mathd_algebra_392"	"1"
"mathd_algebra_398"	"25"
"mathd_algebra_400"	"31"
"mathd_algebra_412"	"30"
"mathd_algebra_419"	"32"
"mathd_algebra_427"	"22"
"mathd_algebra_432"	"32"
"mathd_algebra_44"	"23"
"mathd_algebra_440"	"31"
"mathd_algebra_441"	"31"
"mathd_algebra_452"	"8"
"mathd_algebra_459"	"0"
"mathd_algebra_478"	"28"
"mathd_algebra_484"	"28"
"mathd_algebra_487"	"0"
"mathd_algebra_513"	"32"
"mathd_algebra_598"	"0"
"mathd_algebra_756"	"0"
"mathd_algebra_76"	"6"
"mathd_algebra_80"	"31"
"mathd_numbertheory_100"	"29"
"mathd_numbertheory_1124"	"29"
"mathd_numbertheory_12"	"31"
"mathd_numbertheory_127"	"27"
"mathd_numbertheory_135"	"10"
"mathd_numbertheory_150"	"22"
"mathd_numbertheory_175"	"32"
"mathd_numbertheory_185"	"31"
"mathd_numbertheory_207"	"32"
"mathd_numbertheory_212"	"28"
"mathd_numbertheory_222"	"25"
"mathd_numbertheory_227"	"0"
"mathd_numbertheory_229"	"32"
"mathd_numbertheory_233"	"28"
"mathd_numbertheory_234"	"23"
"mathd_numbertheory_235"	"32"
"mathd_numbertheory_237"	"29"
"mathd_numbertheory_239"	"28"
"mathd_numbertheory_247"	"31"
"mathd_numbertheory_254"	"32"
"mathd_numbertheory_277"	"0"
"mathd_numbertheory_293"	"31"
"mathd_numbertheory_296"	"0"
"mathd_numbertheory_299"	"32"
"mathd_numbertheory_3"	"31"
"mathd_numbertheory_314"	"2"
"mathd_numbertheory_320"	"31"
"mathd_numbertheory_321"	"19"
"mathd_numbertheory_328"	"32"
"mathd_numbertheory_34"	"32"
"mathd_numbertheory_341"	"13"
"mathd_numbertheory_342"	"30"
"mathd_numbertheory_343"	"0"
"mathd_numbertheory_345"	"23"
"mathd_numbertheory_353"	"22"
"mathd_numbertheory_427"	"10"
"mathd_numbertheory_430"	"5"
"mathd_numbertheory_435"	"1"
"mathd_numbertheory_447"	"32"
"mathd_numbertheory_451"	"0"
"mathd_numbertheory_457"	"19"
"mathd_numbertheory_483"	"9"
"mathd_numbertheory_495"	"0"
"mathd_numbertheory_5"	"0"
"mathd_numbertheory_517"	"31"
"mathd_numbertheory_521"	"6"
"mathd_numbertheory_541"	"0"
"mathd_numbertheory_551"	"32"
"mathd_numbertheory_552"	"0"
"mathd_numbertheory_559"	"18"
"mathd_numbertheory_582"	"28"
"mathd_numbertheory_618"	"0"
"mathd_numbertheory_66"	"31"
"mathd_numbertheory_711"	"2"
"mathd_numbertheory_728"	"30"
"mathd_numbertheory_764"	"0"
"mathd_numbertheory_765"	"28"
"mathd_numbertheory_769"	"16"
"mathd_numbertheory_85"	"31"
"mathd_numbertheory_99"	"30"
"numbertheory_2pownm1prime_nprime"	"0"
"numbertheory_3pow2pownm1mod2pownp3eq2pownp2"	"0"
"numbertheory_4x3m7y3neq2003"	"9"
"numbertheory_aoddbdiv4asqpbsqmod8eq1"	"0"
"numbertheory_exk2powkeqapb2mulbpa2_aeq1"	"0"
"numbertheory_fxeq4powxp6powxp9powx_f2powmdvdf2pown"	"0"
