"name"	"correct"
"aime_1983_p1"	"2"
"aime_1983_p2"	"30"
"aime_1983_p3"	"0"
"aime_1984_p1"	"18"
"aime_1984_p7"	"0"
"aime_1987_p5"	"0"
"aime_1988_p8"	"0"
"aime_1989_p8"	"32"
"aime_1990_p15"	"0"
"aime_1990_p4"	"15"
"aime_1991_p9"	"0"
"aime_1994_p3"	"0"
"aime_1995_p7"	"0"
"aime_1997_p9"	"0"
"aime_1999_p11"	"0"
"algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7"	"0"
"algebra_9onxpypzleqsum2onxpy"	"21"
"algebra_abpbcpcageq3_sumaonsqrtapbgeq3onsqrt2"	"0"
"algebra_absapbon1pabsapbleqsumabsaon1pabsa"	"29"
"algebra_absxm1pabsxpabsxp1eqxp2_0leqxleq1"	"30"
"algebra_amgm_sum1toneqn_prod1tonleq1"	"0"
"algebra_amgm_sumasqdivbgeqsuma"	"26"
"algebra_apbmpcneq0_aeq0anbeq0anceq0"	"0"
"algebra_apbon2pownleqapownpbpowon2"	"0"
"algebra_apbpceq2_abpbcpcaeq1_aleq1on3anbleq1ancleq4on3"	"11"
"algebra_bleqa_apbon2msqrtableqambsqon8b"	"16"
"algebra_cubrtrp1oncubrtreq3_rcubp1onrcubeq5778"	"0"
"algebra_ineq_nto1onlt2m1on"	"0"
"algebra_others_exirrpowirrrat"	"0"
"algebra_sqineq_at2malt1"	"31"
"algebra_sqineq_unitcircatbpabsamblt1"	"32"
"algebra_sqineq_unitcircatbpamblt1"	"32"
"algebra_sum1onsqrt2to1onsqrt10000lt198"	"0"
"amc12_2000_p1"	"0"
"amc12_2000_p12"	"2"
"amc12_2000_p20"	"0"
"amc12_2000_p6"	"31"
"amc12_2001_p21"	"0"
"amc12_2001_p5"	"7"
"amc12a_2002_p13"	"0"
"amc12a_2002_p6"	"32"
"amc12a_2003_p23"	"0"
"amc12a_2003_p5"	"30"
"amc12a_2008_p25"	"0"
"amc12a_2009_p6"	"0"
"amc12a_2009_p7"	"0"
"amc12a_2013_p4"	"32"
"amc12a_2019_p12"	"0"
"amc12a_2020_p10"	"0"
"amc12a_2020_p15"	"0"
"amc12a_2020_p25"	"0"
"amc12a_2020_p4"	"0"
"amc12a_2020_p7"	"0"
"amc12a_2020_p9"	"0"
"amc12a_2021_p12"	"0"
"amc12a_2021_p14"	"0"
"amc12a_2021_p18"	"0"
"amc12a_2021_p19"	"0"
"amc12a_2021_p22"	"0"
"amc12a_2021_p25"	"0"
"amc12a_2021_p3"	"19"
"amc12a_2021_p8"	"0"
"amc12a_2021_p9"	"0"
"amc12b_2002_p19"	"29"
"amc12b_2002_p2"	"31"
"amc12b_2002_p4"	"0"
"amc12b_2002_p7"	"23"
"amc12b_2020_p13"	"0"
"amc12b_2020_p2"	"30"
"amc12b_2020_p21"	"0"
"amc12b_2020_p22"	"0"
"amc12b_2020_p6"	"0"
"amc12b_2021_p1"	"0"
"amc12b_2021_p13"	"0"
"amc12b_2021_p18"	"0"
"amc12b_2021_p3"	"0"
"amc12b_2021_p4"	"19"
"amc12b_2021_p9"	"1"
"imo_1959_p1"	"0"
"imo_1960_p2"	"0"
"imo_1962_p2"	"0"
"imo_1963_p5"	"0"
"imo_1964_p2"	"32"
"imo_1965_p2"	"0"
"imo_1968_p5_1"	"0"
"imo_1969_p2"	"0"
"imo_1974_p3"	"0"
"imo_1977_p6"	"0"
"imo_1981_p6"	"0"
"imo_1982_p1"	"0"
"imo_1983_p6"	"14"
"imo_1984_p6"	"0"
"imo_1985_p6"	"0"
"imo_1992_p1"	"0"
"imo_1997_p5"	"0"
"imo_2001_p6"	"0"
"imo_2019_p1"	"0"
"imosl_2007_algebra_p6"	"0"
"induction_11div10tonmn1ton"	"18"
"induction_12dvd4expnp1p20"	"20"
"induction_1pxpownlt1pnx"	"29"
"induction_nfactltnexpnm1ngt3"	"0"
"induction_pord1p1on2powklt5on2"	"0"
"induction_pprime_pdvdapowpma"	"0"
"induction_prod1p1onk3le3m1onn"	"0"
"induction_sumkexp3eqsumksq"	"0"
"mathd_algebra_107"	"31"
"mathd_algebra_113"	"31"
"mathd_algebra_114"	"0"
"mathd_algebra_125"	"22"
"mathd_algebra_129"	"22"
"mathd_algebra_137"	"28"
"mathd_algebra_139"	"30"
"mathd_algebra_141"	"26"
"mathd_algebra_142"	"9"
"mathd_algebra_143"	"32"
"mathd_algebra_148"	"31"
"mathd_algebra_153"	"0"
"mathd_algebra_156"	"23"
"mathd_algebra_158"	"4"
"mathd_algebra_160"	"24"
"mathd_algebra_17"	"0"
"mathd_algebra_170"	"2"
"mathd_algebra_171"	"30"
"mathd_algebra_176"	"32"
"mathd_algebra_184"	"0"
"mathd_algebra_188"	"24"
"mathd_algebra_196"	"0"
"mathd_algebra_208"	"0"
"mathd_algebra_209"	"23"
"mathd_algebra_215"	"7"
"mathd_algebra_24"	"32"
"mathd_algebra_246"	"31"
"mathd_algebra_263"	"32"
"mathd_algebra_270"	"16"
"mathd_algebra_275"	"13"
"mathd_algebra_276"	"0"
"mathd_algebra_288"	"0"
"mathd_algebra_289"	"0"
"mathd_algebra_293"	"4"
"mathd_algebra_296"	"31"
"mathd_algebra_302"	"22"
"mathd_algebra_304"	"31"
"mathd_algebra_313"	"15"
"mathd_algebra_314"	"32"
"mathd_algebra_320"	"0"
"mathd_algebra_329"	"29"
"mathd_algebra_33"	"9"
"mathd_algebra_332"	"0"
"mathd_algebra_338"	"9"
"mathd_algebra_342"	"0"
"mathd_algebra_346"	"32"
"mathd_algebra_354"	"7"
"mathd_algebra_359"	"29"
"mathd_algebra_362"	"0"
"mathd_algebra_388"	"28"
"mathd_algebra_392"	"4"
"mathd_algebra_398"	"28"
"mathd_algebra_400"	"31"
"mathd_algebra_412"	"32"
"mathd_algebra_419"	"32"
"mathd_algebra_427"	"30"
"mathd_algebra_432"	"32"
"mathd_algebra_44"	"24"
"mathd_algebra_440"	"31"
"mathd_algebra_441"	"30"
"mathd_algebra_452"	"11"
"mathd_algebra_459"	"0"
"mathd_algebra_478"	"30"
"mathd_algebra_484"	"31"
"mathd_algebra_487"	"0"
"mathd_algebra_513"	"31"
"mathd_algebra_598"	"0"
"mathd_algebra_756"	"0"
"mathd_algebra_76"	"1"
"mathd_algebra_80"	"30"
"mathd_numbertheory_100"	"23"
"mathd_numbertheory_1124"	"27"
"mathd_numbertheory_12"	"32"
"mathd_numbertheory_127"	"31"
"mathd_numbertheory_135"	"10"
"mathd_numbertheory_150"	"30"
"mathd_numbertheory_175"	"30"
"mathd_numbertheory_185"	"31"
"mathd_numbertheory_207"	"31"
"mathd_numbertheory_212"	"26"
"mathd_numbertheory_222"	"27"
"mathd_numbertheory_227"	"0"
"mathd_numbertheory_229"	"31"
"mathd_numbertheory_233"	"24"
"mathd_numbertheory_234"	"28"
"mathd_numbertheory_235"	"32"
"mathd_numbertheory_237"	"25"
"mathd_numbertheory_239"	"22"
"mathd_numbertheory_247"	"32"
"mathd_numbertheory_254"	"32"
"mathd_numbertheory_277"	"0"
"mathd_numbertheory_293"	"30"
"mathd_numbertheory_296"	"0"
"mathd_numbertheory_299"	"32"
"mathd_numbertheory_3"	"32"
"mathd_numbertheory_314"	"4"
"mathd_numbertheory_320"	"32"
"mathd_numbertheory_321"	"20"
"mathd_numbertheory_328"	"30"
"mathd_numbertheory_34"	"31"
"mathd_numbertheory_341"	"11"
"mathd_numbertheory_342"	"31"
"mathd_numbertheory_343"	"0"
"mathd_numbertheory_345"	"31"
"mathd_numbertheory_353"	"25"
"mathd_numbertheory_427"	"18"
"mathd_numbertheory_430"	"9"
"mathd_numbertheory_435"	"0"
"mathd_numbertheory_447"	"31"
"mathd_numbertheory_451"	"0"
"mathd_numbertheory_457"	"18"
"mathd_numbertheory_483"	"8"
"mathd_numbertheory_495"	"0"
"mathd_numbertheory_5"	"0"
"mathd_numbertheory_517"	"31"
"mathd_numbertheory_521"	"5"
"mathd_numbertheory_541"	"0"
"mathd_numbertheory_551"	"32"
"mathd_numbertheory_552"	"0"
"mathd_numbertheory_559"	"12"
"mathd_numbertheory_582"	"27"
"mathd_numbertheory_618"	"0"
"mathd_numbertheory_66"	"32"
"mathd_numbertheory_711"	"1"
"mathd_numbertheory_728"	"28"
"mathd_numbertheory_764"	"0"
"mathd_numbertheory_765"	"27"
"mathd_numbertheory_769"	"15"
"mathd_numbertheory_85"	"31"
"mathd_numbertheory_99"	"32"
"numbertheory_2pownm1prime_nprime"	"0"
"numbertheory_3pow2pownm1mod2pownp3eq2pownp2"	"0"
"numbertheory_4x3m7y3neq2003"	"10"
"numbertheory_aoddbdiv4asqpbsqmod8eq1"	"1"
"numbertheory_exk2powkeqapb2mulbpa2_aeq1"	"0"
"numbertheory_fxeq4powxp6powxp9powx_f2powmdvdf2pown"	"0"
"numbertheory_notequiv2i2jasqbsqdiv8"	"1"
"numbertheory_x5neqy2p4"	"23"
